Question,tot_time_spent,num students,average time to solve,num_success,num_failed,question_length,person_name_count,person_name_boolean,conjunction_phrase_count,preposition_phrase_count,math_symbols_count,Unnamed: 17,success_rate,Adding-Decimals,Addition,Algebraic-Manipulation,Area,Area-Concept,Area-of-Circle,Circle-Graph,Circumference,Combinatorics,Comparing-Fractions,Compounding_Interest,Congruence,Conversion-of-fractions-decimals-percents,Discount,Divide-Decimals,Divisibility,Division,Equation-Concept,Equation-Solving,Equivalent-Fractions-Decimals-Percents,Evaluating-Functions,Exponents,Finding-Percents,Fraction-Decimals-Percents,Fraction-Division,Fraction-Multiplication,Fractions,Increasing_Percent_(Sales_Tax),Inducing-Functions,Integers,Interpreting-Linear-Equations,Interpreting-Numberline,Isosceles-Triangle,Knowing_English_and_Metric_Terms,Least-Common-Multiple,Linear-Area-Volume-Conversion,Making-Sense-of-Expressions-and-Equations,Mean,Meaning-of-PI,Measurement,Median,Multiplication,Multiplying-Decimals,Multiplying-Positive-Negative-Numbers,Number-Line,Of-Means-Multiply,Ordering-Fractions,Ordering-Numbers,Order-of-Operations,Pattern-Finding,Percent-Of,Percents,Perimeter,Point-Plotting,Prime-Number,Probability,Properties-of-Geometric-Figures,Properties-of-Solids,Proportion,Pythagorean-theorem,Range,Rate,Rate-with-Distance-and-Time,Reading-graph,Reciprocal,Reduce-Fraction,Rounding,Scale,Scientific-Notation,Similar-Triangles,Slope,Square-Root,Statistics,Stem-and-Leaf-Plot,Substitution,Subtracting-Decimals,Subtraction,Sum-Of-Interior-Angles-more-than-3-Sides,Sum-of-Interior-Angles-Triangle,Supplementary-Angles,Surface-Area-and-Volume,Symbolization-Articulation,Transformations/Rotations,Transversals,Triangle-Inequality,Unit-Conversion,Venn-Diagram
The coach for the All-Star Basketball Game needs to pick one of the two players for the team. The table below shows the number of points each of the players scored in his last 10 games.Name of playerNumber of points scor,16962,183,92.68852459,78,105,220,0,FALSE,0,8,1,,0.426229508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The chart below shows the average monthly price per share of HiTek stock for each month in 2001. 2001 HiTek Stock Prices Month January,3253,42,77.45238095,32,10,134,1,1,0,4,0,,0.761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the area of the shaded region in the figure above? (Use 3.14 for Pi.),39,7,5.571428571,5,2,77,0,FALSE,0,3,0,,0.714285714,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How many cylinders must be placed on the empty side of the second scale to make that scale balance?,20,6,3.333333333,5,1,99,0,FALSE,0,2,0,,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lee correctly answered 26 out of 51 questions on the math test. To the nearest percent, what percent of the questions did Lee get correct?   ",34911,477,73.18867925,261,216,141,2,1,0,5,0,,0.547169811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lee correctly answered 11 out of 13 questions on the math test. To the nearest percent, what percent of the questions did Lee get correct?   ",22015,350,62.9,205,145,141,2,1,0,5,0,,0.585714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On the grid above, the distance between each dot is 1 inch. What is the length, in inches, of the hypotenuse of the right triangle?   ",93980,987,95.21783181,966,21,134,0,FALSE,0,5,0,,0.978723404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The following equation shows the relationship between a distance traveled (d), the time traveled (t), and the rate (r): d / t = r If the time t increases and the distance d remains th   ",16617,274,60.6459854,164,110,186,0,FALSE,2,2,2,,0.598540146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compute: 3.62 + 49.1 + 56 = ?   ,22750,332,68.52409639,252,80,32,0,FALSE,2,0,3,,0.759036145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo drew a rectangle. Which statement must be true?   ,15142,325,46.59076923,322,3,58,0,FALSE,0,0,0,,0.990769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Eliot School plans to have the school library carpeted. The room is in the shape of a rectangle and measures 24 feet by 18 feet. If the carpet costs $25.75 per square yard including installation, how much will it cost to have the   ",37063,329,112.6534954,120,209,236,0,FALSE,1,5,0,,0.364741641,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Which of the following best describes the meaning of &#960;?   ,17821,337,52.88130564,335,2,63,0,FALSE,1,2,0,,0.994065282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time of Swing Length of Pendulum 1 second 1 unit 2 seconds 4 units 3 seconds   ,46242,624,74.10576923,387,237,79,0,FALSE,0,2,0,,0.620192308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The owner of a car dealership noticed a pattern in the weekly car sales, as shown in the table above.For weeks 1 through 4, which of the following equations could represent the pattern of s cars sold during week w?   ",36385,358,101.6340782,145,213,217,0,FALSE,0,7,0,,0.405027933,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Which of the following fractions is equivalent to 0.2 x 0.6?   ,22524,313,71.96166134,173,140,63,0,FALSE,0,2,0,,0.552715655,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Which lists the cities in order from the one with the lowest recorded temperature to the one with the highest?   ,13910,315,44.15873016,233,82,113,0,FALSE,0,5,0,,0.73968254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In the equation shown above, x represents a positive real number. As the value of x gets larger, what happens to the value of y?   ",20136,284,70.90140845,87,197,131,0,FALSE,0,4,0,,0.306338028,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin is standing next to the school's flagpole on a sunny day as shown in the diagram above. Kevin is 5 feet tall. Which proportion could you use to find the height of the flagpole?   ,28692,339,84.63716814,166,173,185,1,1,0,4,0,,0.489675516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A kilometer is about (6/10) of a mile. If the speed limit along a stretch of highway is 80 kilometers per hour, what is the approximate speed limit in miles per hour?   ",31451,303,103.7986799,302,1,169,0,FALSE,0,7,1,,0.99669967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The figure above shows an RPM gauge. How many RPMs is the gauge registering?   ,17161,305,56.26557377,229,76,79,0,FALSE,0,0,0,,0.750819672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Of the 640 students in a school, 428 were born in Massachusetts. If a newspaper reporter interviews one student at random, which is the best estimate of the probability that the student was born in Massachusetts?   ",51612,651,79.28110599,443,208,215,0,FALSE,0,6,0,,0.680491551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Let x be a positive, even number that is less than 10. Which of these ordered pair (x, y) would NOT make the equation y = x + 3 true.   ",22609,341,66.30205279,184,157,136,0,FALSE,0,1,2,,0.539589443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"For any positive number n, How do a and b compare?   ",21443,333,64.39339339,119,214,53,0,FALSE,1,1,0,,0.357357357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How many rectangles are there in Figure 4?   ,24014,321,74.80996885,38,283,45,0,FALSE,0,1,0,,0.118380062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How many cylinders must be placed on the empty side of the second scale to make that scale balance?   ,101534,1776,57.17004505,1050,726,102,0,FALSE,0,2,0,,0.591216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is 3/4 of 1 2/3?   ,27926,350,79.78857143,75,275,24,0,FALSE,0,1,2,,0.214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use the chart below to answer this question  Number of Band Members Grade 6Grade 7Grade 8 Number   ,31074,337,92.20771513,150,187,99,0,FALSE,0,1,0,,0.445103858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"To sell their house, the Fords placed an advertisement in the local newspaper. For one week, they recorded the number of calls they received each day in response to the advertisement in the following chart.SM   ",38471,350,109.9171429,235,115,211,1,1,0,6,0,,0.671428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What does x equal in this equation? x + 4 = 2   ,12360,324,38.14814815,282,42,48,0,FALSE,0,2,2,,0.87037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the value of the expression below when x = 12 and y = -12? (x-y) (x+y)   ,23258,299,77.78595318,296,3,81,0,FALSE,1,2,5,,0.989966555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"The largest natural lake in Massachusetts is Assawompsett Pond which has an area of 2,656 acres. What is the area of the lake in square miles? Please round your answer to the nearest square mile. Note that there are 640 acres in 1 square mile.   ",50165,292,171.7979452,283,9,246,1,1,0,6,0,,0.969178082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Use the balance scale above to answer the question. Which of the following shows the relationship between the weights of one cylinder and one cube?   ,83541,1145,72.96157205,758,387,150,0,FALSE,1,3,0,,0.662008734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Venn diagram above shows Leila's graduating classes from middle school, high school, and college. How many students graduated together from both Leila's middle school and high school?   ",152487,873,174.6701031,221,652,190,1,1,2,2,0,,0.253150057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"There are white, red, blue and green balls in a box. If Ben takes 1 ball without looking, the probability that it will be white is 1/4. The probability that it will be red is 1/5. The probability that it will be blue is 1/2. What is the least n   ",28170,325,86.67692308,61,264,247,1,1,2,2,3,,0.187692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triangle ABC is an isosceles triangle in which line AC is congruent to line BC. What is the measure of angle ACB?   ,27075,354,76.48305085,197,157,116,0,FALSE,0,2,0,,0.556497175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Massachusetts Highway Department is responsible for more than 66.5 million feet of roadway in Massachusetts. About how many miles is 66.5 million feet?   ,24889,313,79.51757188,154,159,158,0,FALSE,0,3,0,,0.49201278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"The Massachusetts Department of Employment and Training predicted that there will be 21% more jobs for computer programmers in Massachusetts in 2005 than there were in 1994. There were 15,970 programming jobs in 1994. Based on the prediction, ho   ",40732,320,127.2875,47,273,248,0,FALSE,1,8,1,,0.146875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Corrine and her brother Jerome have the same birthday. When Corrine was 8 years old, Jerome was 2. Write an equation that shows the relationship between Corrine's age, C, and Jerome's age, J, at all times during their lives.   ",23103,299,77.26755853,113,186,227,2,1,2,3,0,,0.377926421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A part of the real number line is shown above. Which letter best represents the location of the square root of 50?   ,23815,327,72.82874618,215,112,117,0,FALSE,0,3,0,,0.657492355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jake reads in the newspaper that one U.S. dollar was worth $1.37 in Canadian money. If n stands for the number of U.S. dollars, which equation gives the value, v, of those dollars in Canadian money?   ",26738,349,76.61318052,237,112,201,0,FALSE,0,6,0,,0.679083095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The chart below shows the amount spent by customers at a department store on a typical business day. Amount SpentNumber of Customers $0158   ,44634,321,139.046729,23,298,141,0,FALSE,0,3,0,,0.07165109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use the spinner shown to answer this question.What is the probability of spinning an even number on this spinner?   ,17321,339,51.09439528,127,212,116,0,FALSE,0,2,0,,0.374631268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guenther drove 260 miles in 5 hours. He has 494 more miles to drive on his trip. If he continues at this same average rate of speed, what will his driving time be for the remainder of his trip?   ",35315,317,111.4037855,211,106,196,0,FALSE,0,6,0,,0.665615142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Of the 12 songs on Ella's new CD, 3 are her favorites. If her CD player chooses one song at random, what is the probability that it will be one of her favorite songs?   ",17625,332,53.0873494,229,103,169,0,FALSE,0,4,0,,0.689759036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Which of the following measurements would most likely be given with a negative exponent in scientific notation?   ,38693,677,57.15361891,306,371,114,0,FALSE,0,3,0,,0.451994092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The figure above shows a circle inscribed in a square. Which of the following is closest to the area of the circle?   ,26684,309,86.35598706,140,169,118,0,FALSE,0,4,0,,0.453074434,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kayla is assembling a bookcase. She has put a metal piece into a hole in a shelf as shown below. The instructions say to rotate the piece 90 degrees counterclockwise. How will the piece look after the rotation?   ,20950,339,61.79941003,151,188,213,0,FALSE,0,3,0,,0.445427729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"The Eliot School plans to have the school library carpeted. The room is in the shape of a rectangle and measures 12 feet by 36 feet. If the carpet costs $32 per square yard including installation, how much will it cost to have the library carpet   ",37569,328,114.5396341,39,289,248,0,FALSE,1,5,0,,0.118902439,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Which of the following is equivalent to the equation above?   ,18254,326,55.99386503,145,181,62,0,FALSE,0,2,0,,0.444785276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The squares in the figure above are congruent. The perimeter of the entire figure is 24 units. What is the area of one small square?   ,45500,617,73.7439222,158,459,135,0,FALSE,0,3,0,,0.256077796,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
